"Developer","گسترش دهنده"
"Extended ifconfig","ifconfig گسترش یافته"
"This extension is part of CODNITIVE Core which extends Magento Core.","این اکستنشن بخشی از هسته‌ی کدنیتیو است که هسته‌ی مجنتو را گسترش می‌دهد."
